ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,refuse_pct,healthiness_score,health_category
5000,474,67.78,144,28.04,3.57,1.4,0.0,0.0,0.0,13.0,0.46,25.0,246.0,284.0,328.0,0.87,0.041,0.083,23.1,0.0,0.081,0.131,9.634,0.433,0.314,11.0,0.0,8.0,8.0,0.27,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.863,1.444,0.49,86.0,85.0,4,22.0,77.34014447046614,0
5185,510,74.89,114,23.66,1.48,1.04,0.14,0.0,0.05,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,22.7,0.0,0.042,0.145,9.924,0.775,0.813,7.0,0.0,7.0,7.0,0.63,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,5.0,0.289,0.264,0.258,57.0,85.0,1,29.0,76.36612479946913,0
5219,512,74.89,114,23.66,1.48,1.04,0.14,0.0,0.05,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,22.7,0.0,0.042,0.145,9.924,0.775,0.813,7.0,0.0,7.0,7.0,0.63,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,5.0,0.289,0.264,0.258,57.0,85.0,4,22.0,76.36612479946913,0
5293,508,70.91,126,22.16,3.46,2.06,0.0,0.0,0.0,9.0,0.66,21.0,214.0,248.0,397.0,1.53,0.041,0.015,25.7,0.0,0.053,0.133,9.067,0.489,0.32,5.0,0.0,5.0,5.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.98,1.14,0.84,42.0,85.0,4,8.0,75.18958880803923,0
5318,475,64.6,178,29.1,5.96,1.1,0.0,0.0,0.0,10.0,2.33,21.0,149.0,232.0,108.0,1.02,0.092,0.083,21.6,2.3,0.085,0.17,5.33,0.433,0.152,12.0,0.0,9.0,11.0,0.26,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.339,2.637,0.909,105.0,85.0,4,34.0,77.96331233752366,0
5696,509,76.42,101,21.54,1.66,1.42,0.0,0.0,0.05,14.0,0.54,25.0,236.0,242.0,206.0,1.3,0.052,0.007,22.7,0.0,0.033,0.145,9.924,0.775,0.775,7.0,0.0,7.0,11.0,0.63,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,5.0,0.289,0.264,0.258,54.0,85.0,1,31.0,75.45899287177848,0
5721,511,76.42,101,21.54,1.66,1.42,0.14,0.0,0.05,14.0,0.54,25.0,236.0,242.0,206.0,1.3,0.052,0.007,22.7,0.0,0.033,0.145,9.924,0.775,0.775,7.0,0.0,7.0,11.0,0.63,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,5.0,0.289,0.264,0.258,54.0,85.0,4,22.0,75.45899287177848,0
5738,513,74.89,108,23.66,1.48,1.04,0.14,0.0,0.05,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,22.7,0.0,0.042,0.145,9.924,0.775,0.813,7.0,0.0,7.0,11.0,0.63,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,5.0,0.289,0.264,0.258,57.0,85.0,4,44.0,76.36612479946913,0
13000,130,73.42,117,23.07,2.69,1.69,0.0,0.0,0.0,9.0,1.85,23.0,212.0,342.0,55.0,3.61,0.068,0.009,21.1,0.0,0.052,0.124,6.703,0.678,0.651,13.0,0.0,13.0,13.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.032,0.995,0.108,55.0,85.0,4,34.0,76.07766037615973,0
13047,129,67.13,192,19.42,12.73,1.71,0.0,0.0,0.0,12.0,1.99,19.0,175.0,289.0,68.0,4.55,0.063,0.01,14.2,0.0,0.049,0.154,4.818,0.576,0.355,6.0,0.0,6.0,6.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.335,4.8,0.532,62.0,85.0,1,0.0,73.61490308336613,0
